id;result_details;timestamp;dietary_goal_complete;mood_goal_achieved;workout_goal_achieved;sleep_goal_achieved
1;Uganda;2024-03-03T00:59:00;true;false;true;true
2;gold Philippine Computers;2024-03-03T16:00:12;true;false;false;true
3;Regional withdrawal online;2024-03-03T10:13:43;true;true;false;true
4;synergistic mobile;2024-03-03T05:52:37;false;true;true;true
5;Quality-focused cross-platform Berkshire;2024-03-03T00:38:38;false;false;false;true
6;IB Uganda;2024-03-03T17:10:06;false;true;true;true
7;USB Wyoming;2024-03-03T10:01:49;true;true;true;false
8;green;2024-03-03T08:47:05;true;false;false;true
9;Advanced Pine;2024-03-03T12:07:22;false;false;false;false
10;navigate Cliffs;2024-03-02T20:42:33;true;true;false;false
