id;name;description;reps;sets;muscle_group
1;Cambridgeshire payment Baby;solutions Frozen Grenada;19178;84264;LEGS
2;payment engineer Metal;Optional matrix Money;55725;94247;CHEST
3;Cambridgeshire quantifying;Suriname interface;62108;64022;OTHER
4;Investment Solutions;teal HTTP;60307;6727;ARMS
5;Agent Shoes bleeding-edge;payment Data Wisconsin;49387;83230;ARMS
6;Beauty IB Table;Plastic CSS deposit;86760;93783;CHEST
7;compressing deposit;Club;46531;44145;SHOULDERS
8;open-source Synergized Baby;payment cyan Shoes;29236;31457;CARDIO
9;communities Plastic Associate;Horizontal back;65117;68907;LEGS
10;virtual;Data Granite Maine;51247;88116;ARMS
