id;date;name;description;subjective_effect;supplement_type
1;2024-03-03;digital parse Innovative;TCP Fork Fantastic;Robust Implementation;PRESCRIPTION
2;2024-03-03;Bedfordshire Hollow;deposit Generic;lime Regional Krone;SUPPLEMENT
3;2024-03-03;Open-source eco-centric lime;Plain Krona;iterate 1080p payment;OTHER
4;2024-03-03;functionalities;Small deploy relationships;Niue;SUPPLEMENT
5;2024-03-03;South standardization;out-of-the-box intuitive;input Lebanon Frozen;OTHER
6;2024-03-03;National;demand-driven Account;Avon;OTHER
7;2024-03-03;International Fresh;Money infrastructures;Account salmon Account;PRESCRIPTION
8;2024-03-03;methodologies;Carolina;Gorgeous;OTHER
9;2024-03-03;Data HTTP Account;firmware Internal;Chips Island;PRESCRIPTION
10;2024-03-02;moratorium Factors;Malta e-business TCP;Metal Avon;SUPPLEMENT
