id;date;mood;note
1;2024-03-03;VERY_SAD;../fake-data/blob/hipster.txt
2;2024-03-03;SAD;../fake-data/blob/hipster.txt
3;2024-03-03;HAPPY;../fake-data/blob/hipster.txt
4;2024-03-03;NEUTRAL;../fake-data/blob/hipster.txt
5;2024-03-03;SAD;../fake-data/blob/hipster.txt
6;2024-03-03;NEUTRAL;../fake-data/blob/hipster.txt
7;2024-03-03;VERY_HAPPY;../fake-data/blob/hipster.txt
8;2024-03-02;HAPPY;../fake-data/blob/hipster.txt
9;2024-03-03;SAD;../fake-data/blob/hipster.txt
10;2024-03-03;HAPPY;../fake-data/blob/hipster.txt
