id;start_time;end_time;rating
1;2024-03-03T01:38:35;2024-03-03T13:55:03;84987
2;2024-03-03T09:36:33;2024-03-02T21:32:06;50644
3;2024-03-02T22:37:11;2024-03-03T14:51:39;82001
4;2024-03-03T08:56:26;2024-03-03T08:18:10;73724
5;2024-03-03T16:18:13;2024-03-03T03:51:44;46842
6;2024-03-03T02:55:55;2024-03-03T15:00:36;59409
7;2024-03-02T20:23:52;2024-03-03T08:29:13;67146
8;2024-03-02T18:19:54;2024-03-03T09:38:14;85872
9;2024-03-03T08:49:49;2024-03-03T06:47:17;22886
10;2024-03-03T09:56:19;2024-03-03T06:41:39;40263
